P5, gender, 0, tts, Surprised, 6, 4, 2
P5, gender, 0, tts, Sad, 3, 2, 2
P5, gender, 0, tts, Happy, 2, 4, 2
P5, gender, 0, tts, Angry, 4, 4, 1
P5, gender, 0, text, Scared, 5, 1, 3
P5, gender, 0, text, Angry, 4, 4, 2
P5, gender, 0, text, Surprised, 6, 4, 2
P5, gender, 0, text, Happy, 2, 2, 1
P5, gender, 0, text, Sad, 3, 3, 2
P5, gender, 0, emoji, Sad, 3, 5, 4
P5, gender, 0, emoji, Angry, 4, 4, 4
P5, gender, 0, emoji, Happy, 2, 4, 4
P5, gender, 0, emoji, Surprised, 6, 4, 4
P5, gender, 0, emoji, Scared, 5, 4, 4
P5, gender, 0, face, Angry_Face_Mat, 4, 5, 5
P5, gender, 0, face, Surprised_Face_Mat, 6, 5, 5
P5, gender, 0, face, Scared_Face_Mat, 3, 5, 5
P5, gender, 0, face, Happy_Face_Mat, 2, 5, 4
P5, gender, 0, face, Sad_Face_Mat, 3, 5, 5
P5, gender, 0, tail, surprised, 6, 4, 4
P5, gender, 0, tail, happy, 2, 5, 5
P5, gender, 0, tail, sad, 3, 4, 4
P5, gender, 0, tail, angry, 6, 3, 3
P5, gender, 0, tail, scared, 5, 4, 4
P5, gender, 0, light, Scared, 6, 3, 2
P5, gender, 0, light, Angry, 4, 2, 1
P5, gender, 0, light, Sad, 3, 2, 1
P5, gender, 0, light, Happy, 2, 3, 2
P5, gender, 0, light, Surprised, 5, 2, 1
P5, gender, 0, sound, Sad, 3, 5, 5
P5, gender, 0, sound, Scared, 6, 5, 4
P5, gender, 0, sound, Surprised, 4, 5, 4
P5, gender, 0, sound, Angry, 6, 5, 5
P5, gender, 0, sound, Happy, 2, 5, 5
