P19, gender, 0, tts, Sad, 3, 2, 3
P19, gender, 0, tts, Happy, 2, 3, 3
P19, gender, 0, tts, Scared, 5, 3, 3
P19, gender, 0, tts, Angry, 4, 3, 3
P19, gender, 0, tts, Surprised, 6, 2, 2
P19, gender, 0, text, Angry, 4, 2, 2
P19, gender, 0, text, Happy, 2, 1, 2
P19, gender, 0, text, Scared, 5, 1, 2
P19, gender, 0, text, Sad, 3, 2, 2
P19, gender, 0, text, Surprised, 6, 2, 2
P19, gender, 0, emoji, Happy, 2, 4, 3
P19, gender, 0, emoji, Scared, 3, 4, 3
P19, gender, 0, emoji, Angry, 4, 4, 4
P19, gender, 0, emoji, Sad, 3, 4, 5
P19, gender, 0, emoji, Surprised, 6, 4, 5
P19, gender, 0, face, Scared_Face_Mat, 3, 5, 5
P19, gender, 0, face, Angry_Face_Mat, 4, 5, 5
P19, gender, 0, face, Sad_Face_Mat, 3, 5, 5
P19, gender, 0, face, Happy_Face_Mat, 2, 5, 5
P19, gender, 0, face, Surprised_Face_Mat, 6, 5, 5
P19, gender, 0, tail, happy, 2, 4, 4
P19, gender, 0, tail, angry, 2, 5, 5
P19, gender, 0, tail, sad, 3, 5, 5
P19, gender, 0, tail, scared, 5, 5, 5
P19, gender, 0, tail, surprised, 2, 5, 5
P19, gender, 0, light, Happy, 2, 3, 3
P19, gender, 0, light, Sad, 3, 4, 3
P19, gender, 0, light, Surprised, 5, 3, 3
P19, gender, 0, light, Scared, 1, 3, 2
P19, gender, 0, light, Angry, 5, 3, 3
P19, gender, 0, sound, Happy, 1, 3, 3
P19, gender, 0, sound, Scared, 4, 3, 3
P19, gender, 0, sound, Angry, 4, 3, 3
P19, gender, 0, sound, Sad, 3, 4, 4
P19, gender, 0, sound, Surprised, 5, 4, 4
